function,type,places_calls,sends_sms,provider,compliance_gate,twilio_sig_verified,severity,trigger_ui,trigger_cron,trigger_webhook,trigger_fn,trigger_external,trigger_db,last_activity,row_count_90d,dependencies_ok,disposition,migration_group,egress,log_tables
bland-start-call,function,Y,N,bland,NO-GATE,n/a-or-NO,P0,src/pages/bland-dial/BlandDialHubPage.tsx:228,none,none,supabase/functions/bland-send-sms/index.ts:3;supabase/functions/comms-feature-prober/index.ts:39,UNKNOWN-MAKE,none,recent,3549,ok,GATE-NOW,G2-bland-direct,"bland;calls:bland-agent-webhook,bland-send-sms","bland_call_logs,bland_leads"
brandaro-ai-caller,function,Y,N,bland,NO-GATE,n/a-or-NO,P0,src/components/brandaro/BrandaroLeadCard.tsx:96;src/components/brandaro/BrandaroLeadAssignmentButtons.tsx:33,none,none,supabase/functions/brandaro-execute-calls/index.ts:195;supabase/functions/comms-feature-prober/index.ts:41,UNKNOWN-MAKE,none,recent,277,ok,GATE-NOW,G2-bland-direct,bland;calls:bland-agent-webhook,brandaro_ai_calls
brandaro-autonomous-executor,function,Y,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,none,UNKNOWN-MAKE,none,recent,1431,ok,GATE-LATER,G3-outbound-voice-twilio,twilio-sms;twilio-call;calls:twilio-voice-handler,"brandaro_automation_log,brandaro_contact_limits,brandaro_execution_log,brandaro_lead_memory,communication_logs"
brandaro-closer-action,function,Y,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/hooks/useBrandaroCloserActions.ts:19;src/pages/brandaro/FollowUpEnginePage.tsx:66,none,none,supabase/functions/brandaro-auto-striker/index.ts:318;supabase/functions/brandaro-auto-striker/index.ts:350,UNKNOWN-MAKE,none,recent,1431,ok,GATE-NOW,G3-outbound-voice-twilio,twilio-sms;twilio-call;calls:twilio-voice-handler,communication_logs
brandaro-create-payment-link,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/brandaro/VACommandCenterPage.tsx:255;src/pages/brandaro/ClientDemoViewPage.tsx:107,none,none,supabase/functions/brandaro-send-followups/index.ts:178;supabase/functions/brandaro-send-followups/index.ts:183,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G7-brandaro-sms,twilio-sms,NOT-LOGGED
brandaro-execute-calls,function,Y,N,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/brandaro/BrandaroActivationCenter.tsx:135,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G3-outbound-voice-twilio,"twilio-call;calls:brandaro-call-status,brandaro-call-twiml",brandaro_call_logs
brandaro-handle-inbound,function,N,Y,twilio-direct,NO-GATE,Y,P0,none,none,Twilio(via comms-health-monitor probe/inbound),supabase/functions/comms-health-monitor/index.ts:54;supabase/functions/comms-health-monitor/index.ts:423,UNKNOWN-MAKE,none,recent,47,ok,GATE-NOW,G7-brandaro-sms,twilio-sms,brandaro_inbound_messages
brandaro-provision-receptionist,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/brandaro/BrandaroReceptionistClientDetail.tsx:89,none,none,supabase/functions/brandaro-receptionist-webhook/index.ts:126,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G7-brandaro-sms,twilio-sms;retell;calls:brandaro-retell-webhook,NOT-LOGGED
brandaro-receptionist-checkout,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/components/brandaro/SendReceptionistLinkModal.tsx:76;src/pages/brandaro/BrandaroReceptionistHub.tsx:135,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G7-brandaro-sms,twilio-sms,NOT-LOGGED
brandaro-recovery-worker,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,YES,none,none,UNKNOWN-MAKE,none,recent,1431,ok,GATE-NOW,G7-brandaro-sms,twilio-sms,"brandaro_closer_alerts,communication_logs"
brandaro-retell-webhook,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,Retell,supabase/functions/brandaro-provision-receptionist/index.ts:16,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G7-brandaro-sms,twilio-sms,NOT-LOGGED
brandaro-send-demo,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/brandaro/DemoEnginePage.tsx:169;src/pages/brandaro/BuilderHubPage.tsx:95,none,none,supabase/functions/brandaro-retry-jobs/index.ts:47;supabase/functions/brandaro-send-followup/index.ts:66,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G7-brandaro-sms,twilio-sms,"brandaro_job_failures,brandaro_message_log"
brandaro-send-followup,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,YES,none,supabase/functions/brandaro-pipeline-automator/index.ts:188;supabase/functions/brandaro-pipeline-automator/index.ts:250,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-NOW,G7-brandaro-sms,twilio-sms,"brandaro_job_failures,brandaro_message_log"
brandaro-send-followups,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,YES,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-NOW,G7-brandaro-sms,twilio-sms;calls:brandaro-create-payment-link,NOT-LOGGED
brandaro-sms-dispatch,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/brandaro/BrandaroActivationCenter.tsx:111,none,none,supabase/functions/comms-feature-prober/index.ts:54,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-NOW,G7-brandaro-sms,twilio-sms,brandaro_message_log
brandaro-stripe-webhook,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,Stripe,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G7-brandaro-sms,"twilio-sms;calls:brandaro-pipeline-automator,brandaro-post-payment","brandaro_call_patterns,brandaro_job_failures"
bulk-ai-call-processor,function,Y,N,bland,NO-GATE,n/a-or-NO,P0,src/hooks/useBulkOutreach.ts:153;src/hooks/useBulkOutreach.ts:217,YES,none,supabase/functions/comms-feature-prober/index.ts:38,UNKNOWN-MAKE,none,recent,1431,ok,GATE-NOW,G2-bland-direct,bland,"ambassador_activity_log,communication_logs"
bulk-sms-processor,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/hooks/useBulkOutreach.ts:153;src/hooks/useBulkOutreach.ts:217,YES,none,supabase/functions/bulk-ai-call-processor/index.ts:2;supabase/functions/comms-feature-prober/index.ts:48,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-NOW,G4-generic-sms-senders,twilio-sms,"ambassador_activity_log,communication_messages"
cb-dispatch-engine,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/hooks/useCBDispatchEngine.ts:45;src/hooks/useCBDispatchEngine.ts:64,none,none,supabase/functions/tt-smart-dispatch/index.ts:548;supabase/functions/tt-smart-dispatch/index.ts:581,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G4-generic-sms-senders,twilio-sms,"cb_auto_evaluations,cb_communication_logs,cb_partner_quotes,cb_partner_response_tokens,cb_quote_selection_events,cb_request_partner_dispatches"
check-bill-balances,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,KEEP-AS-IS,,twilio-sms,NOT-LOGGED
cold-call-tts-blast,function,Y,N,twilio-direct,NO-GATE,n/a-or-NO,P0,src/hooks/useColdCallBlast.ts:169;src/hooks/useColdCallBlast.ts:204,none,none,supabase/functions/comms-feature-prober/index.ts:45,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G3-outbound-voice-twilio,"twilio-call;11labs;calls:cold-call-tts-webhook,twilio-call-status","cold_call_campaigns,cold_call_items,manual_call_logs"
comms-health-monitor,function,N,Y,bland,NO-GATE,Y,P0,src/pages/communication/CommsHealthDashboard.tsx:90,YES,none,supabase/functions/brandaro-handle-inbound/index.ts:55;supabase/functions/gasmask-sms-inbound/index.ts:59,UNKNOWN-MAKE,none,recent,726426,ok,KEEP-AS-IS,,"twilio-sms;bland;11labs;calls:brandaro-handle-inbound,comms-feature-prober,twilio-inbound-call,twilio-sms-webhook",comms_health_checks
comms-loop-probe,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,KEEP-AS-IS,,twilio-sms,NOT-LOGGED
dc-bland-dispatch,function,Y,N,bland,Y,n/a-or-NO,P2,src/pages/dynasty-connect/DCCallDispatch.tsx:257;src/pages/dynasty-connect/DCCallDispatch.tsx:290,none,none,supabase/functions/bland-agent-webhook/index.ts:420;supabase/functions/_shared/dispatch_gates.ts:7,UNKNOWN-MAKE,none,recent,7654,ok,ALREADY-GATED,,bland;calls:dc-bland-webhook,dynasty_ai_calls
dd-cart-recovery-cron,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/dynasty-direct/DDAnalytics.tsx:112,YES,none,none,UNKNOWN-MAKE,none,recent,5,ok,GATE-LATER,G6-dynastydirect-sms-notify,twilio-sms,email_jobs
dd-generate-partner-payouts,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/dynasty-direct/DDPartnerCampaigns.tsx:879,YES,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G6-dynastydirect-sms-notify,twilio-sms,dd_partner_payouts
dd-notify-customer-order-update,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/dynasty-direct/DDPurchaseOrders.tsx:671;src/pages/dynasty-direct/DDOrderDetail.tsx:138,none,none,supabase/functions/dd-grabba-bridge/index.ts:167;supabase/functions/dd-whatsapp-webhook/index.ts:128,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G6-dynastydirect-sms-notify,twilio-sms,NOT-LOGGED
dd-notify-question,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,DELETE-CANDIDATE,,twilio-sms,NOT-LOGGED
dd-pay-partner,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/dynasty-direct/DDPartnerCampaigns.tsx:860,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G6-dynastydirect-sms-notify,twilio-sms,NOT-LOGGED
dd-stripe-webhook,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,Stripe,supabase/functions/dd-create-checkout/index.ts:209;supabase/functions/dd-notify-customer-order-update/index.ts:2,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G6-dynastydirect-sms-notify,twilio-sms;calls:dd-notify-customer-order-update,"dd_disputes,dd_partner_earnings,dd_webhook_events"
dd-subscription-fulfillment,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/components/dynasty-direct/StoreSubscriptionsTab.tsx:65,YES,none,none,UNKNOWN-MAKE,none,recent,21,ok,GATE-NOW,G6-dynastydirect-sms-notify,twilio-sms,"marketplace_order_items,marketplace_orders"
dd-supplier-scorecard,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/components/dynasty-direct/ScorecardHistory.tsx:40,YES,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G6-dynastydirect-sms-notify,twilio-sms,NOT-LOGGED
dd-trigger-bland-campaign,function,Y,N,bland,Y,n/a-or-NO,P2,none,none,none,supabase/functions/_shared/dc_sync_log.ts:59,UNKNOWN-MAKE,none,recent,996,ok,ALREADY-GATED,,bland;calls:dc-bland-webhook,"dc_call_logs,dc_campaigns,dc_leads"
dd-whatsapp-notify,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/dynasty-direct/DDSupplierPerformance.tsx:525,none,none,supabase/functions/dd-notify-supplier-order/index.ts:192,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G6-dynastydirect-sms-notify,twilio-sms,NOT-LOGGED
dialer-bridge-agent,function,Y,N,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,DELETE-CANDIDATE,,twilio-call;calls:twilio-status-webhook,dialer_call_attempts
discover-twiml-apps,function,Y,N,twilio-direct,NO-GATE,n/a-or-NO,P0,src/components/communication/VoiceInfrastructureAudit.tsx:74;src/pages/admin/TwilioTestConsole.tsx:97,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,KEEP-AS-IS,,twilio-call,NOT-LOGGED
dropship-product-scorer,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/os/unforgettable/PricingIntelligence.tsx:101,none,none,none,UNKNOWN-MAKE,none,recent,74,ok,KEEP-AS-IS,,twilio-sms,"ai_scoring_runs,trending_products"
dynasty-recovery-claimant-intake,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,external site POST,none,UNKNOWN-MAKE,none,recent,4242,ok,GATE-NOW,G4-generic-sms-senders,twilio-sms;calls:bland-agent-trigger,surplus_funds_leads
encrypt-client-ssn,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/funding-machine/SecureClientIntakePage.tsx:47,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,KEEP-AS-IS,,twilio-sms,funding_clients
fetch-twilio-conversation,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/components/communication/inbox/ConversationPanel.tsx:91;src/components/communication/inbox/ConversationPanel.tsx:96,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,KEEP-AS-IS,,twilio-sms,NOT-LOGGED
fetch-twilio-messages,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/communication/messaging/ConversationsTab.tsx:51,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,KEEP-AS-IS,,twilio-sms,NOT-LOGGED
field-portal-comms,function,Y,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/hooks/useFieldStoreComms.ts:11;src/hooks/useFieldStoreComms.ts:75,none,none,none,UNKNOWN-MAKE,none,recent,1431,ok,GATE-NOW,G3-outbound-voice-twilio,twilio-sms;twilio-call,"ambassador_activity_log,communication_logs"
gasmask-ai-caller,function,Y,N,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/MasterOpportunities.tsx:490,none,none,supabase/functions/gasmask-trigger-bland-campaign/index.ts:7;supabase/functions/gasmask-trigger-bland-campaign/index.ts:199,UNKNOWN-MAKE,none,recent,1431,ok,GATE-NOW,G3-outbound-voice-twilio,twilio-call,communication_logs
gasmask-missed-call-handler,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,supabase/functions/dc-inbound-call/index.ts:12;supabase/functions/dc-inbound-call/index.ts:136,UNKNOWN-MAKE,none,recent,1431,ok,GATE-NOW,G4-generic-sms-senders,twilio-sms,communication_logs
messaging-send-worker,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,supabase/functions/comms-feature-prober/index.ts:55;supabase/functions/messaging-launch/index.ts:160,UNKNOWN-MAKE,none,recent,8,ok,GATE-NOW,G4-generic-sms-senders,twilio-sms,messaging_messages
monitor-ut-ambassador-pipeline,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/os/unforgettable/UTAmbassadorManagement.tsx:301,YES,none,none,UNKNOWN-MAKE,none,recent,8804,ok,GATE-NOW,G4-generic-sms-senders,twilio-sms;calls:run-ut-ambassador-pipeline-test,"pipeline_health_logs,system_operation_logs"
nightlife-notify,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/os/toptier/penthouse/PenthouseNightlife.tsx:124,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G4-generic-sms-senders,twilio-sms,NOT-LOGGED
place-outbound-call,function,Y,N,twilio-direct,NO-GATE,n/a-or-NO,P0,src/hooks/useOutboundCall.ts:98;src/components/portal/field/StoreCallTextButtons.tsx:24,none,none,supabase/functions/comms-feature-prober/index.ts:31,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G3-outbound-voice-twilio,"twilio-call;calls:twilio-bridge,twilio-call-status","admin_audit_log,call_recordings,manual_call_logs"
playboxxx-trigger-bland-campaign,function,Y,N,bland,NO-GATE,n/a-or-NO,P0,none,none,none,none,UNKNOWN-MAKE,none,recent,996,MISSING:playboxxx_leads,FREEZE,,bland;calls:dc-bland-webhook,"dc_campaigns,dc_leads"
re-trigger-bland-campaign,function,Y,N,bland,NO-GATE,n/a-or-NO,P0,src/pages/real-estate/RELeadPipeline.tsx:367,YES,none,supabase/functions/_shared/dc_sync_log.ts:10;supabase/functions/_shared/dc_sync_log.ts:10,UNKNOWN-MAKE,none,recent,996,ok,GATE-NOW,G1-bland-campaign-triggers,bland;calls:dc-bland-webhook,"dc_campaigns,dc_leads"
receive-event-booking,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,external site POST,none,UNKNOWN-MAKE,none,recent,2,ok,GATE-LATER,G4-generic-sms-senders,twilio-sms,ut_event_bookings
sbo-daily-automation,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/components/sbo/ChingWorldPicksSMS.tsx:254,none,none,none,UNKNOWN-MAKE,none,recent,64,ok,GATE-NOW,G9-sbo-sms,"twilio-sms;calls:get-todays-games,sbo-analyze-tonight,sbo-compare-odds,sbo-consensus-engine,sbo-ingest-book-props,sbo-recalibrate,sbo-run-analysis,sbo-send-daily-email,sbo-sync-polymarket,sbo-top-plays,sbo-verify-results","sbo_automation_log,sbo_sms_sends_log"
sbo-send-daily-sms,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/sports-betting/SportsBettingOS.tsx:3605;src/components/sbo/SyncDashboard.tsx:92,none,none,supabase/functions/sbo-day-engine/index.ts:22;supabase/functions/sbo-day-engine/index.ts:45,UNKNOWN-MAKE,none,recent,87,ok,GATE-NOW,G9-sbo-sms,twilio-sms;calls:sbo-generate-daily-briefing,sbo_sms_log
sbo-send-picks-sms,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/components/sbo/ChingWorldPicksSMS.tsx:292,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G9-sbo-sms,twilio-sms,sbo_sms_sends_log
send-approval-sms,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/os/unforgettable/UTStaffManagement.tsx:17;src/pages/os/unforgettable/UTVenuesManagement.tsx:17,none,none,supabase/functions/comms-feature-prober/index.ts:59,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G4-generic-sms-senders,twilio-sms,NOT-LOGGED
send-invoice-receipt,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/BillingInvoiceNew.tsx:105;src/pages/BillingInvoiceNew.tsx:147,none,none,none,UNKNOWN-MAKE,none,recent,8,ok,GATE-LATER,G4-generic-sms-senders,twilio-sms,"invoice_receipt_log,messaging_messages"
send-invoice-sms,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/services/invoice/sendInvoiceSms.ts:25;src/services/invoice/sendInvoiceSms.ts:33,none,none,supabase/functions/comms-feature-prober/index.ts:58,UNKNOWN-MAKE,none,recent,1431,ok,GATE-NOW,G4-generic-sms-senders,twilio-sms,communication_logs
send-sms,function,N,Y,twilio-direct,Y,n/a-or-NO,P2,src/services/templateService.ts:71;src/services/templateService.ts:154,none,none,supabase/functions/admin-notify/index.ts:221;supabase/functions/_shared/dnc.ts:128,UNKNOWN-MAKE,none,recent,822,ok,ALREADY-GATED,,twilio-sms,outbound_messages
sf-lead-import,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/surplus-funds/SFDiscovery.tsx:68,YES,none,none,UNKNOWN-MAKE,none,recent,4242,ok,GATE-NOW,G4-generic-sms-senders,twilio-sms;calls:sf-trigger-bland-campaign,"re_automation_log,surplus_funds_leads"
sf-trigger-bland-campaign,function,Y,N,bland,NO-GATE,n/a-or-NO,P0,src/pages/surplus-funds/SFLeadPipeline.tsx:339;src/pages/surplus-funds/SFAutomation.tsx:123,none,none,supabase/functions/_shared/dc_sync_log.ts:9;supabase/functions/_shared/dc_sync_log.ts:9,UNKNOWN-MAKE,none,recent,996,ok,GATE-NOW,G1-bland-campaign-triggers,bland;calls:dc-bland-webhook,"dc_campaigns,dc_leads"
solar-call-initiate,function,Y,N,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/solar/SolarLiveCallAssist.tsx:103,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G3-outbound-voice-twilio,"twilio-call;calls:twilio-call-status,twilio-elevenlabs-bridge,twilio-gather-webhook",solar_interactions
solar-followup-sender,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,YES,none,none,UNKNOWN-MAKE,none,none-90d,0,MISSING:solar_master_leads,GATE-LATER,G4-generic-sms-senders,twilio-sms;calls:solar-followup-ai-generator,NOT-LOGGED
solar-parallel-dialer,function,Y,N,twilio-direct,NO-GATE,n/a-or-NO,P0,src/components/dialer/BatchDialerPanel.tsx:162;src/components/dialer/BatchDialerPanel.tsx:168,none,none,supabase/functions/comms-feature-prober/index.ts:42,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G3-outbound-voice-twilio,"twilio-call;calls:twilio-call-status,twilio-elevenlabs-bridge",NOT-LOGGED
supplier-reply-webhook,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/os/unforgettable/UTSupplierInboxV2.tsx:141,none,Twilio-SMS(external cfg),none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G4-generic-sms-senders,twilio-sms,ut_supplier_messages
supplier-send,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/os/unforgettable/UTAutoOutreach.tsx:98;src/pages/os/unforgettable/UTSupplierInboxV2.tsx:91,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G4-generic-sms-senders,twilio-sms,ut_supplier_messages
sync-bland-call,function,Y,N,bland,NO-GATE,n/a-or-NO,P0,src/pages/dynasty-connect/DCCallDispatch.tsx:169,none,none,supabase/functions/bland-start-call/index.ts:3,UNKNOWN-MAKE,none,recent,79,ok,KEEP-AS-IS,,bland,"dynasty_call_history,dynasty_call_transcripts"
system-health-runner,function,N,Y,bland,NO-GATE,n/a-or-NO,P0,src/hooks/useHealthChecks.ts:71,YES,none,none,UNKNOWN-MAKE,none,recent,685552,ok,KEEP-AS-IS,,twilio-sms;bland,health_check_runs
test-ring,function,Y,N,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/voice-ops/VONumbers.tsx:66;src/components/communication/TestRingButton.tsx:37,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,KEEP-AS-IS,,twilio-call;calls:twilio-call-status,"call_recordings,manual_call_logs"
transfer-campaign-call,function,Y,N,twilio-direct,NO-GATE,n/a-or-NO,P0,src/components/communication/ManualCampaignCallModal.tsx:697,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G3-outbound-voice-twilio,"twilio-call;calls:twilio-call-status,twilio-elevenlabs-bridge,twilio-human-call-complete,twilio-recording-callback","call_recordings,live_call_transcripts"
tt-assign-driver,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/os/toptier/TTDispatch.tsx:103,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G5-toptier-sms-notify,twilio-sms,tt_notifications_log
tt-auto-dispatch,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,none,UNKNOWN-MAKE,none,recent,44,MISSING:partners+tt_service_partners+vehicles,GATE-LATER,G5-toptier-sms-notify,twilio-sms,"tt_dispatch_requests,tt_notifications_log"
tt-booking-fulfillment,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/hooks/useBookingFulfillment.ts:26,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G5-toptier-sms-notify,twilio-sms,"tt_booking_events,tt_broadcast_quotes,tt_confirmation_requests"
tt-deliverability-test,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,KEEP-AS-IS,,twilio-sms,NOT-LOGGED
